Cp,Line,Target_type,Target,IPTG,Replicate,Hours
15.06,PI3K_TD,Target,PI3K,0,2,24
14.92,PI3K_TD,Target,PI3K,0,3,24
13.91,PI3K_TD,Target,PI3K,500,1,24
14.8,PI3K_TD,Target,PI3K,500,2,24
14.23,PI3K_TD,Target,PI3K,500,3,24
16.48,PI4K_TD,Target,PI4K,0,1,24
16.48,PI4K_TD,Target,PI4K,0,2,24
16.76,PI4K_TD,Target,PI4K,0,3,24
16.29,PI4K_TD,Target,PI4K,500,1,24
15.73,PI4K_TD,Target,PI4K,500,2,24
15.69,PI4K_TD,Target,PI4K,500,3,24
15.2,PI3K_TD,Target,PI4K,0,1,24
15,PI3K_TD,Target,PI4K,0,2,24
14.95,PI3K_TD,Target,PI4K,0,3,24
14.87,PI3K_TD,Target,PI4K,500,1,24
15.66,PI3K_TD,Target,PI4K,500,2,24
15.1,PI3K_TD,Target,PI4K,500,3,24
15.84,PI4K_TD,Target,PI3K,0,1,24
15.93,PI4K_TD,Target,PI3K,0,2,24
16.43,PI4K_TD,Target,PI3K,0,3,24
16.68,PI4K_TD,Target,PI3K,500,1,24
16.05,PI4K_TD,Target,PI3K,500,2,24
16.03,PI4K_TD,Target,PI3K,500,3,24
20.55,pPC150,Target,Kelch13,0,1,48
21.45,pPC150,Target,Kelch13,0,2,48
20.26,pPC150,Target,Kelch13,0,3,48
15.06,pPC150,Target,Kelch13,2,1,48
15.89,pPC150,Target,Kelch13,2,2,48
15.62,pPC150,Target,Kelch13,2,3,48
20.59,pPC150,Target,Kelch13,0,1,48
21.48,pPC150,Target,Kelch13,0,2,48
20.49,pPC150,Target,Kelch13,0,3,48
14.96,pPC150,Target,Kelch13,2,1,48
15.8,pPC150,Target,Kelch13,2,2,48
15.69,pPC150,Target,Kelch13,2,3,48
20.6,pPC150,Target,Kelch13,0,1,48
21.47,pPC150,Target,Kelch13,0,2,48
20.29,pPC150,Target,Kelch13,0,3,48
15.11,pPC150,Target,Kelch13,2,1,48
15.8,pPC150,Target,Kelch13,2,2,48
15.58,pPC150,Target,Kelch13,2,3,48
13.02,pPC150,Control,Actin,0,1,48
13.73,pPC150,Control,Actin,0,2,48
12.94,pPC150,Control,Actin,0,3,48
11.66,pPC150,Control,Actin,2,1,48
12.16,pPC150,Control,Actin,2,2,48
11.88,pPC150,Control,Actin,2,3,48
12.99,pPC150,Control,Actin,0,1,48
13.86,pPC150,Control,Actin,0,2,48
12.64,pPC150,Control,Actin,0,3,48
11.65,pPC150,Control,Actin,2,1,48
12.17,pPC150,Control,Actin,2,2,48
11.91,pPC150,Control,Actin,2,3,48
12.95,pPC150,Control,Actin,0,1,48
13.81,pPC150,Control,Actin,0,2,48
12.69,pPC150,Control,Actin,0,3,48
11.59,pPC150,Control,Actin,2,1,48
12.17,pPC150,Control,Actin,2,2,48
11.89,pPC150,Control,Actin,2,3,48
