ID,SequenceID,WellPosition,ScanPosition,Tag,RLU,RLU(RQ),Timestamp(ms)
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:1,,,173,ValidSlopeSaturation,1794885405
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:2,,,180,ValidSlopeSaturation,1794886676
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:3,,,306,ValidSlopeSaturation,1794887932
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:4,,,1108,ValidSlopeSaturation,1794889197
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:5,,,2752,ValidSlopeSaturation,1794890447
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:6,,,3135,ValidSlopeSaturation,1794891710
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:7,,,3342,ValidSlopeSaturation,1794892976
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:8,,,3329,ValidSlopeSaturation,1794894301
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:9,,,3683,ValidSlopeSaturation,1794895568
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:10,,,3091,ValidSlopeSaturation,1794896825
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:11,,,3271,ValidSlopeSaturation,1794898086
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,A:12,,,2148,ValidSlopeSaturation,1794899339
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:1,,,158,ValidSlopeSaturation,1794901548
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:2,,,188,ValidSlopeSaturation,1794902816
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:3,,,560,ValidSlopeSaturation,1794904082
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:4,,,1222,ValidSlopeSaturation,1794905343
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:5,,,3911,ValidSlopeSaturation,1794906593
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:6,,,4674,ValidSlopeSaturation,1794907863
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:7,,,5127,ValidSlopeSaturation,1794909132
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:8,,,4733,ValidSlopeSaturation,1794910401
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:9,,,4848,ValidSlopeSaturation,1794911660
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:10,,,4803,ValidSlopeSaturation,1794912913
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:11,,,4197,ValidSlopeSaturation,1794914179
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,B:12,,,3312,ValidSlopeSaturation,1794915445
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:1,,,135,ValidSlopeSaturation,1794917658
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:2,,,167,ValidSlopeSaturation,1794918907
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:3,,,322,ValidSlopeSaturation,1794920157
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:4,,,1033,ValidSlopeSaturation,1794921409
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:5,,,3632,ValidSlopeSaturation,1794922668
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:6,,,4484,ValidSlopeSaturation,1794923932
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:7,,,4907,ValidSlopeSaturation,1794925238
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:8,,,4568,ValidSlopeSaturation,1794926494
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:9,,,4836,ValidSlopeSaturation,1794927763
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:10,,,4269,ValidSlopeSaturation,1794929026
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:11,,,4509,ValidSlopeSaturation,1794930289
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,C:12,,,3113,ValidSlopeSaturation,1794931551
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:1,,,137,ValidSlopeSaturation,1794933775
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:2,,,145,ValidSlopeSaturation,1794935037
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:3,,,271,ValidSlopeSaturation,1794936289
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:4,,,1260,ValidSlopeSaturation,1794937556
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:5,,,3586,ValidSlopeSaturation,1794938820
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:6,,,4434,ValidSlopeSaturation,1794940068
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:7,,,4499,ValidSlopeSaturation,1794941317
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:8,,,4669,ValidSlopeSaturation,1794942572
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:9,,,4338,ValidSlopeSaturation,1794943830
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:10,,,4346,ValidSlopeSaturation,1794945094
0dd59e35-eaf7-49d9-820d-4e67fd7ec896,0,D:11,,,4121,ValidSlopeSaturation,1794946348
